Year,Site,,y,x,class,,,Row Labels,2018,2019,2021,2022,2023,2024,
2024,WBNP-PARS-07,2024WBNP-PARS-07,59.7114,-112.17068,CS,,,,,,,,,,
2024,WBNP-PARS-08,2024WBNP-PARS-08,59.71576,-112.16903,CS,,,,,,,,,,
2024,WBNP-PARS-09,2024WBNP-PARS-09,59.954202,-112.458929,MW,,,,,,,,,,
2024,WBNP-PARS-10,2024WBNP-PARS-10,59.954524,-112.449846,DA,,,,,,,,,,
2024,WBNP-PARS-11,2024WBNP-PARS-11,59.95041,-112.457411,DA,,,,,,,,,,
2024,WBNP-PARS-12,2024WBNP-PARS-12,59.950105,-112.449259,DA,,,,,,,,,,
2024,WBNP-PLR-01,2024WBNP-PLR-01,59.585747,-112.260156,CS,,,,,,,,,,
2024,WBNP-PLR-02,2024WBNP-PLR-02,59.583054,-112.255287,BOG/FEN,,,,,,,,,,
2024,WBNP-PLR-03,2024WBNP-PLR-03,59.579457,-112.259559,BOG/FEN,,,,,,,,,,
2024,WBNP-PLR-04,2024WBNP-PLR-04,59.582375,-112.265975,MW,,,,,,,,,,
2024,WBNP-SAPL-01,2024WBNP-SAPL-01,59.96645,-112.39748,MW,,,,,,,,,,
2024,WBNP-SAPL-02,2024WBNP-SAPL-02,59.96235,-112.40361,MW,,,,,,,,,,
2024,WBNP-PR-01,2024WBNP-PR-01,59.129794,-112.345774,DA,,,,,,,,,,
2024,WBNP-PR-02,2024WBNP-PR-02,59.126355,-112.342706,DA,,,,,,,,,,
2024,WBNP-PR-03,2024WBNP-PR-03,59.126429,-112.335099,DA,,,,,,,,,,
2024,WBNP-PR-04,2024WBNP-PR-04,59.129804,-112.337676,DA,,,,,,,,,,
