Year,Site,x,y,class
2021,WBNP-LOOP-01,59.81016,-112.02818,CP
2021,WBNP-LOOP-02,59.80611,-112.02176,MW
2021,WBNP-LOOP-03,59.80625,-112.0302,CP
2021,WBNP-LOOP-04,59.79486,-111.98077,CS
2021,WBNP-LOOP-05,59.79133,-111.97535,CS
2021,WBNP-LOOP-06,59.80189,-111.99689,CS
2021,WBNP-LOOP-07,59.80333,-111.9886,CS
2021,WBNP-LOOP-08,59.79855,-111.98492,MW
2021,WBNP-PLR-01,59.58572,-112.26004,CS
2021,WBNP-PLR-02,59.58308,-112.25515,CS
2021,WBNP-PLR-03,59.57945,-112.25938,CS
2021,WBNP-PLR-04,59.58239,-112.26594,CS
2021,WBNP-M99-01,60.119393,-113.671539,CS
2021,WBNP-M99-02,60.119074,-113.662568,CP
2021,WBNP-M99-03,60.114597,-113.663208,DA
2021,WBNP-M99-04,60.114916,-113.672179,MW
2021,WBNP-HAY-121,59.74084,-111.53187,DA
2021,WBNP-HAY-122,59.74152,-111.54064,CS
2021,WBNP-HAY-123,59.73773,-111.54565,CS
2021,WBNP-HAY-124,59.73725,-111.53676,CS
2021,WBNP-LALA-01,59.52209,-112.22572,MW
2021,WBNP-LALA-02,59.52206,-112.23457,CS
2021,WBNP-LALA-03,59.51748,-112.23447,CS
2021,WBNP-LALA-04,59.51761,-112.22527,CS/CP
2022,WBNP-HAY-01,59.72194,-111.54823,MW
2022,WBNP-HAY-02,59.71985,-111.5564,MW
2022,WBNP-HAY-03,59.72566,-111.55397,DA
2022,WBNP-HAY-04,59.72876,-111.56017,CS
2022,WBNP-LALA-01,59.52209,-112.22572,MW
2022,WBNP-LALA-02,59.51761,-112.22527,MW
2022,WBNP-LALA-03,59.51748,-112.23447,CS
2022,WBNP-LALA-04,59.52206,-112.23457,CP
2022,WBNP-LALA-05,59.50494,-112.19962,CS
2022,WBNP-LALA-06,59.50499,-112.20855,MW
2022,WBNP-LALA-07,59.50199,-112.18796,MW
2022,WBNP-LALA-08,59.50174,-112.19749,MW
2022,WBNP-LOOP-01,59.81016,-112.02818,CP
2022,WBNP-LOOP-02,59.80611,-112.02176,MW
2022,WBNP-LOOP-03,59.80625,-112.0302,CP/CS
2022,WBNP-LOOP-04,59.79486,-111.98077,WS
2022,WBNP-LOOP-05,59.79133,-111.97535,WS
2022,WBNP-LOOP-06,59.80189,-111.99689,BOG/FEN
