"","sites","x2018","x2019","x2021","x2022","x2023","x2024","y2018","y2019","y2021","y2022","y2023","y2024","dist2018.2019","dist2019.2021","dist2021.2022","dist2022.2023","dist2023.2024","dist2018.2021","dist2019.2022","dist2021.2023","dist2022.2024","dist2018.2022","dist2019.2023","dist2021.2024","dist2018.2023","dist2019.2024","dist2018.2024"
"27","WBNP-LALA-02",NA,-112.22527,-112.22527,-112.22527,NA,-112.22527,NA,59.51761,59.51761,59.51761,NA,59.51761,NA,0,0,NA,NA,NA,0,NA,0,NA,NA,0,NA,0,NA
"28","WBNP-LALA-03",NA,-112.23447,-112.23447,-112.23447,NA,-112.234361,NA,59.51748,59.51748,59.51748,NA,59.518137,NA,0,0,NA,NA,NA,0,NA,73.3954534269056,NA,NA,73.3954534269056,NA,73.3954534269056,NA
"29","WBNP-LALA-04",NA,-112.23457,-112.23457,-112.23457,NA,-112.235347,NA,59.52206,59.52206,59.52206,NA,59.522367,NA,0,0,NA,NA,NA,0,NA,55.6109674861531,NA,NA,55.6109674861531,NA,55.6109674861531,NA
"30","WBNP-LALA-05",NA,-112.19962,NA,-112.19962,NA,-112.19962,NA,59.50494,NA,59.50494,NA,59.50494,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,0,NA
"31","WBNP-LALA-06",NA,-112.20855,NA,-112.20855,NA,-112.20855,NA,59.50499,NA,59.50499,NA,59.50499,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,0,NA
"32","WBNP-LALA-07",NA,-112.18796,NA,-112.18796,NA,-112.18796,NA,59.50199,NA,59.50199,NA,59.50199,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,0,NA
"33","WBNP-LALA-08",NA,-112.19749,NA,-112.19749,NA,-112.19749,NA,59.50174,NA,59.50174,NA,59.50174,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,0,NA
"34","WBNP-LALA-21",-112.21834,NA,NA,NA,NA,NA,59.52234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","WBNP-LALA-22",-112.21595,NA,NA,NA,NA,NA,59.51786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","WBNP-LALA-23",-112.22472,NA,NA,NA,NA,NA,59.51387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","WBNP-LALA-24",-112.22287,NA,NA,NA,NA,NA,59.50865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","WBNP-LALA-25",-112.22845,NA,NA,NA,NA,NA,59.52562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","WBNP-LALA-26",-112.23119,NA,NA,NA,NA,NA,59.53151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","WBNP-LALA-27",-112.21689,NA,NA,NA,NA,NA,59.52767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
