bsm_id,bsm_scientific_name,bsm_common_name,bsm_species_id,exists_in_wt
24,Accipiter cirrocephalus,Collared Sparrowhawk,,t
26,Accipiter fasciatus,Brown Goshawk,,t
27,Accipiter gentilis,Eurasian Goshawk,942,t
28,Accipiter gularis,Japanese Sparrowhawk,,t
29,Accipiter hiogaster,Variable Goshawk,,t
30,Accipiter melanoleucus,Black Goshawk,,t
31,Accipiter minullus,Little Sparrowhawk,,t
33,Accipiter novaehollandiae,Grey Goshawk,,t
34,Accipiter poliogaster,Grey-bellied Hawk,2327,t
38,Accipiter tachiro,African Goshawk,,t
39,Accipiter trinotatus,Spot-tailed Goshawk,,t
40,Accipiter trivirgatus,Crested Goshawk,,t
41,Accipiter virgatus,Besra,,t
42,Aceros nipalensis,Rufous-necked Hornbill,,t
43,Achaetops pycnopygius,Rockrunner,,f
44,Acridotheres burmannicus,Burmese Myna,,t
45,Acridotheres cristatellus,Crested Myna,,t
46,Acridotheres fuscus,Jungle Myna,,t
47,Acridotheres ginginianus,Bank Myna,,t
48,Acridotheres grandis,Great Myna,,t
49,Acridotheres javanicus,Javan Myna,,f
52,Acris gryllus,Southern Cricket Frog,,f
53,Acrobatornis fonsecai,Pink-legged Graveteiro,,f
56,Acrocephalus australis,Australian Reed Warbler,,t
57,Acrocephalus baeticatus,African Reed Warbler,,t
58,Acrocephalus bistrigiceps,Black-browed Reed Warbler,,t
59,Acrocephalus concinens,Blunt-winged Warbler,,f
61,Acrocephalus gracilirostris,Lesser Swamp Warbler,,t
62,Acrocephalus griseldis,Basra Reed Warbler,,f
64,Acrocephalus newtoni,Madagascar Swamp Warbler,,t
65,Acrocephalus orientalis,Oriental Reed Warbler,,t
68,Acrocephalus rufescens,Greater Swamp Warbler,,t
70,Acrocephalus scirpaceus,Common Reed Warbler,4628,t
71,Acrocephalus stentoreus,Clamorous Reed Warbler,,t
72,Acrocephalus tangorum,Manchurian Reed Warbler,,t
73,Acropternis orthonyx,Ocellated Tapaculo,,t
74,Actenoides concretus,Rufous-collared Kingfisher,,t
75,Actenoides lindsayi,Spotted Kingfisher,,t
76,Actenoides monachus,Green-backed Kingfisher,,t
77,Actinodura cyanouroptera,Blue-winged Minla,,t
78,Actinodura egertoni,Rusty-fronted Barwing,,t
79,Actinodura nipalensis,Hoary-throated Barwing,,t
80,Actinodura ramsayi,Spectacled Barwing,,t
81,Actinodura strigula,Chestnut-tailed Minla,,t
82,Actinodura waldeni,Streak-throated Barwing,,t
85,Actophilornis africanus,African Jacana,,t
86,Adelomyia melanogenys,Speckled Hummingbird,,t
90,Aegithalos concinnus,Black-throated Tit,,t
91,Aegithalos glaucogularis,Silver-throated Tit,,t
92,Aegithalos iouschistos,Black-browed Tit,,f
93,Aegithalos niveogularis,White-throated Tit,,t
94,Aegithina nigrolutea,White-tailed Iora,,t
95,Aegithina tiphia,Common Iora,,t
96,Aegithina viridissima,Green Iora,,t
98,Aegolius funereus,Tengmalm's Owl,830,t
99,Aegolius harrisii,Buff-fronted Owl,,t
101,Aegotheles cristatus,Australian Owlet-nightjar,,t
104,Aerodramus fuciphagus,White-nest Swiftlet,,f
105,Aerodramus maximus,Black-nest Swiftlet,,f
106,Aeronautes andecolus,Andean Swift,,t
107,Aeronautes montivagus,White-tipped Swift,,t
111,Aethopyga christinae,Fork-tailed Sunbird,,t
112,Aethopyga gouldiae,Mrs. Gould's Sunbird,,t
113,Aethopyga ignicauda,Fire-tailed Sunbird,,t
114,Aethopyga nipalensis,Green-tailed Sunbird,,t
115,Aethopyga saturata,Black-throated Sunbird,,t
116,Aethopyga siparaja,Crimson Sunbird,,t
117,Aethopyga temminckii,Temminck's Sunbird,,t
118,Aethopyga vigorsii,Vigors's Sunbird,,t
119,Agapornis canus,Grey-headed Lovebird,,f
120,Agapornis fischeri,Fischer's Lovebird,,t
121,Agapornis personatus,Yellow-collared Lovebird,,t
123,Agapornis taranta,Black-winged Lovebird,,t
124,Agelaioides badius,Greyish Baywing,,t
126,Agelaius tricolor,Tricoloured Blackbird,2001,t
127,Agelasticus cyanopus,Unicoloured Blackbird,,t
128,Agelasticus thilius,Yellow-winged Blackbird,,t
129,Agelasticus xanthophthalmus,Pale-eyed Blackbird,,f
130,Aglaiocercus coelestis,Violet-tailed Sylph,,t
131,Aglaiocercus kingii,Long-tailed Sylph,,t
132,Agriornis montanus,Black-billed Shrike-Tyrant,,t
133,Agropsar philippensis,Chestnut-cheeked Starling,,t
134,Agropsar sturninus,Daurian Starling,,f
135,Ailuroedus crassirostris,Green Catbird,,t
136,Ailuroedus maculosus,Spotted Catbird,,t
142,Akletos goeldii,Goeldi's Antbird,,t
143,Akletos melanoceps,White-shouldered Antbird,,t
144,Alaemon alaudipes,Greater Hoopoe-Lark,,t
146,Alauda gulgula,Oriental Skylark,,t
147,Alaudala cheleensis,Asian Short-toed Lark,,t
148,Alaudala heinei,Turkestan Short-toed Lark,,f
149,Alaudala raytal,Sand Lark,,t
150,Alaudala rufescens,Mediterranean Short-toed Lark,,t
151,Alaudala somalica,Somali Short-toed Lark,,f
154,Alcedo meninting,Blue-eared Kingfisher,,t
155,Alcippe brunneicauda,Brown Fulvetta,,t
156,Alcippe fratercula,Yunnan Fulvetta,,t
157,Alcippe hueti,Huet's Fulvetta,,t
158,Alcippe morrisonia,Morrison's Fulvetta,,t
159,Alcippe nipalensis,Nepal Fulvetta,,t
160,Alcippe peracensis,Mountain Fulvetta,,t
161,Alcippe poioicephala,Brown-cheeked Fulvetta,,t
162,Alcippe pyrrhoptera,Javan Fulvetta,,t
163,Aleadryas rufinucha,Rufous-naped Bellbird,,t
168,Alectura lathami,Australian Brushturkey,,t
169,Alethe castanea,Fire-crested Alethe,,t
170,Alethe diademata,White-tailed Alethe,,t
171,Alipiopsitta xanthops,Yellow-faced Parrot,,t
172,Alisterus scapularis,Australian King-Parrot,,t
174,Allonemobius allardi,Allard's Ground Cricket,,f
175,Allonemobius tinnulus,Tinkling Ground Cricket,,f
176,Allonemobius walkeri,Walker's Ground Cricket,,f
177,Alophoixus finschii,Finsch's Bulbul,,f
178,Alophoixus flaveolus,White-throated Bulbul,,t
179,Alophoixus ochraceus,Ochraceous Bulbul,,t
180,Alophoixus pallidus,Puff-throated Bulbul,,t
181,Alophoixus phaeocephalus,Yellow-bellied Bulbul,,t
182,Alophoixus tephrogenys,Grey-cheeked Bulbul,,f
183,Alopochelidon fucata,Tawny-headed Swallow,,t
185,Alouatta pigra,Mexican Black Howler Monkey,,f
186,Amalocichla incerta,Lesser Ground-Robin,,t
189,Amaurornis isabellina,Isabelline Bush-hen,,t
190,Amaurornis moluccana,Pale-vented Bush-hen,,t
191,Amaurornis phoenicurus,White-breasted Waterhen,,t
193,Amaurospiza moesta,Blackish-blue Seedeater,,t
198,Amazilis amazilia,Amazilia Hummingbird,,f
199,Amazona aestiva,Turquoise-fronted Parrot,,t
202,Amazona amazonica,Orange-winged Parrot,,t
205,Amazona brasiliensis,Red-tailed Parrot,,t
206,Amazona dufresniana,Blue-cheeked Parrot,,t
208,Amazona festiva,Festive Parrot,,t
210,Amazona kawalli,Kawall's Parrot,,t
212,Amazona mercenarius,Scaly-naped Parrot,,t
215,Amazona rhodocorytha,Red-browed Parrot,,t
216,Amazona tucumana,Tucuman Parrot,,t
218,Amazona vinacea,Vinaceous-breasted Parrot,,t
221,Amazonetta brasiliensis,Brazilian Teal,,t
223,Amblycorypha alexanderi,Clicker Round-winged Katydid,,f
224,Amblycorypha longinicta,Common Virtuoso Katydid,,f
225,Amblycorypha oblongifolia,Oblong-winged Katydid,,f
226,Amblycorypha rotundifolia,Rattler Round-winged Katydid,,f
227,Amblyornis newtoniana,Golden Bowerbird,,t
228,Amblyospiza albifrons,Grosbeak Weaver,,t
229,Amblyramphus holosericeus,Scarlet-headed Blackbird,,t
230,Ammodramus aurifrons,Yellow-browed Sparrow,,t
231,Ammodramus humeralis,Grassland Sparrow,,t
233,Ammomanes cinctura,Bar-tailed Lark,,t
234,Ammomanes deserti,Desert Lark,,t
235,Ammomanes phoenicura,Rufous-tailed Lark,,t
236,Ammonastes pelzelni,Grey-bellied Antbird,,t
241,Ampelioides tschudii,Scaled Fruiteater,,t
242,Ampelion rubrocristatus,Red-crested Cotinga,,t
243,Ampelion rufaxilla,Chestnut-crested Cotinga,,t
244,Ampelornis griseiceps,Grey-headed Antbird,,t
247,Anabacerthia amaurotis,White-browed Foliage-gleaner,,t
248,Anabacerthia lichtensteini,Ochre-breasted Foliage-gleaner,,t
249,Anabacerthia ruficaudata,Rufous-tailed Foliage-gleaner,,t
250,Anabacerthia striaticollis,Montane Foliage-gleaner,,t
252,Anabazenops dorsalis,Dusky-cheeked Foliage-gleaner,,t
253,Anabazenops fuscus,White-collared Foliage-gleaner,,t
254,Anairetes alpinus,Ash-breasted Tit-Tyrant,,t
255,Anairetes flavirostris,Yellow-billed Tit-Tyrant,,t
256,Anairetes nigrocristatus,Black-crested Tit-Tyrant,,t
257,Anairetes parulus,Tufted Tit-Tyrant,,t
258,Anairetes reguloides,Pied-crested Tit-Tyrant,,t
260,Anas andium,Andean Teal,,t
261,Anas castanea,Chestnut Teal,,t
262,Anas crecca,Eurasian/Green-winged Teal,2725,t
263,Anas diazi,Mexican Duck,,t
264,Anas flavirostris,Yellow-billed Teal,,t
266,Anas georgica,Yellow-billed Pintail,,t
267,Anas gracilis,Grey Teal,,t
269,Anas poecilorhyncha,Indian Spot-billed Duck,,t
271,Anas superciliosa,Pacific Black Duck,,t
272,Anas undulata,Yellow-billed Duck,,t
275,Anastomus oscitans,Asian Openbill,,f
276,Anaxipha exigua,Say's Trig,,f
278,Anaxyrus canorus,Yosemite Toad,,f
281,Anaxyrus houstonensis,Houston Toad,,f
283,Anaxyrus quercicus,Oak Toad,,f
284,Anaxyrus speciosus,Texas Toad,,f
285,Anaxyrus terrestris,Southern Toad,,f
286,Anaxyrus woodhousii,Woodhouse's Toad,,f
287,Ancistrops strigilatus,Chestnut-winged Hookbill,,t
288,Andigena hypoglauca,Grey-breasted Mountain-Toucan,,t
289,Andigena laminirostris,Plate-billed Mountain-Toucan,,t
290,Andigena nigrirostris,Black-billed Mountain-Toucan,,t
292,Andropadus importunus,Sombre Greenbul,,t
293,Anhima cornuta,Horned Screamer,,t
295,Anhinga melanogaster,Oriental Darter,,t
296,Anhinga novaehollandiae,Australasian Darter,,t
297,Anisognathus igniventris,Scarlet-bellied Mountain Tanager,,t
298,Anisognathus lacrymosus,Lacrimose Mountain Tanager,,t
299,Anisognathus somptuosus,Blue-winged Mountain Tanager,,t
300,Anodorhynchus hyacinthinus,Hyacinth Macaw,,t
301,Anodorhynchus leari,Indigo Macaw,,t
302,Anorrhinus galeritus,Bushy-crested Hornbill,,t
303,Anous ceruleus,Blue-grey Noddy,535,f
306,Anous tenuirostris,Lesser Noddy,,f
308,Anser anser,Greylag Goose,1244,t
312,Anser cygnoides,Swan Goose,,t
315,Anser indicus,Bar-headed Goose,,t
318,Anseranas semipalmata,Magpie Goose,,t
319,Anthipes monileger,White-gorgeted Flycatcher,,t
320,Anthipes solitaris,Rufous-browed Flycatcher,,t
321,Anthobaphes violacea,Orange-breasted Sunbird,,f
322,Anthochaera carunculata,Red Wattlebird,,t
323,Anthochaera chrysoptera,Little Wattlebird,,t
324,Anthochaera lunulata,Western Wattlebird,,t
325,Anthochaera paradoxa,Yellow Wattlebird,,t
326,Anthochaera phrygia,Regent Honeyeater,,f
327,Anthornis melanura,New Zealand Bellbird,,t
328,Anthoscopus minutus,Southern Penduline Tit,,t
329,Anthoscopus musculus,Mouse-coloured Penduline Tit,,t
330,Anthracoceros albirostris,Oriental Pied-Hornbill,,t
331,Anthracoceros coronatus,Malabar Pied-Hornbill,,t
332,Anthracoceros malayanus,Black Hornbill,,t
334,Anthreptes malacensis,Brown-throated Sunbird,,t
335,Anthreptes orientalis,Eastern Violet-backed Sunbird,,t
336,Anthropoides paradiseus,Blue Crane,,t
338,Anthus berthelotii,Berthelot's Pipit,,t
339,Anthus bogotensis,Paramo Pipit,,t
342,Anthus chacoensis,Pampas Pipit,,t
343,Anthus cinnamomeus,African Pipit,,t
344,Anthus correndera,Correndera Pipit,,t
345,Anthus crenatus,Yellow-tufted Pipit,,t
346,Anthus furcatus,Short-billed Pipit,,t
347,Anthus godlewskii,Blyth's Pipit,,t
349,Anthus hellmayri,Hellmayr's Pipit,,t
351,Anthus leucophrys,Plain-backed Pipit,,t
352,Anthus lineiventris,Striped Pipit,,t
354,Anthus nattereri,Ochre-breasted Pipit,,t
355,Anthus novaeseelandiae,New Zealand Pipit,4635,t
356,Anthus peruvianus,Peruvian Pipit,,t
360,Anthus roseatus,Rosy Pipit,,t
361,Anthus rubescens,Buff-bellied Pipit,2782,t
362,Anthus rufulus,Paddyfield Pipit,,t
363,Anthus similis,Long-billed Pipit,,t
366,Anthus sylvanus,Upland Pipit,,t
368,Antigone antigone,Sarus Crane,,t
370,Antigone rubicunda,Brolga,,t
371,Antigone vipio,White-naped Crane,,t
372,Antilophia bokermanni,Araripe Manakin,,t
373,Antilophia galeata,Helmeted Manakin,,t
382,Antrostomus sericocaudatus,Silky-tailed Nightjar,,t
384,Anumbius annumbi,Firewood-gatherer,,t
385,Anurolimnas castaneiceps,Chestnut-headed Crake,,t
386,Anurolimnas fasciatus,Black-banded Crake,,t
387,Anurolimnas viridis,Russet-crowned Crake,,t
388,Apalis alticola,Brown-headed Apalis,,f
389,Apalis chapini,Chapin's Apalis,,t
390,Apalis cinerea,Grey Apalis,,t
391,Apalis flavida,Yellow-breasted Apalis,,t
392,Apalis jacksoni,Black-throated Apalis,,f
393,Apalis melanocephala,Black-headed Apalis,,t
394,Apalis personata,Black-faced Apalis,,t
395,Apalis porphyrolaema,Chestnut-throated Apalis,,t
396,Apalis ruddi,Rudd's Apalis,,t
397,Apalis rufogularis,Buff-throated Apalis,,t
398,Apalis sharpii,Sharpe's Apalis,,t
399,Apalis thoracica,Bar-throated Apalis,,t
400,Apaloderma narina,Narina Trogon,,t
401,Apaloderma vittatum,Bar-tailed Trogon,,t
404,Aphelocephala leucopsis,Southern Whiteface,,t
408,Aphelocoma unicolor,Unicoloured Jay,2049,t
411,Aphrastura spinicauda,Thorn-tailed Rayadito,,t
412,Apis mellifera,Honey Bee,,f
413,Aplonis atrifusca,Samoan Starling,,t
414,Aplonis grandis,Brown-winged Starling,,t
415,Aplonis metallica,Metallic Starling,,t
416,Aplonis mysolensis,Moluccan Starling,,t
417,Aplonis opaca,Micronesian Starling,,t
418,Aplonis panayensis,Asian Glossy Starling,,t
419,Aplonis tabuensis,Polynesian Starling,,t
420,Aprosmictus erythropterus,Red-winged Parrot,,t
421,Aptenodytes patagonicus,King Penguin,,t
422,Apteryx mantelli,North Island Brown Kiwi,,t
427,Apus nipalensis,House Swift,,t
428,Apus pacificus,Pacific Swift,1147,t
431,Aquila adalberti,Spanish Eagle,,t
438,Ara glaucogularis,Blue-throated Macaw,,f
442,Arachnothera chrysogenys,Yellow-eared Spiderhunter,,f
443,Arachnothera crassirostris,Thick-billed Spiderhunter,,f
444,Arachnothera flavigaster,Spectacled Spiderhunter,,t
445,Arachnothera longirostra,Little Spiderhunter,,t
446,Arachnothera magna,Streaked Spiderhunter,,t
449,Aramides cajaneus,Grey-cowled Wood-Rail,1188,t
450,Aramides saracura,Slaty-breasted Wood-Rail,,t
451,Aramides wolfi,Brown Wood-Rail,,t
452,Aramides ypecaha,Giant Wood-Rail,,t
454,Aratinga auricapillus,Golden-capped Parakeet,,t
455,Aratinga jandaya,Jandaya Parakeet,,t
457,Aratinga weddellii,Dusky-headed Parakeet,,t
458,Arborophila atrogularis,White-cheeked Partridge,,t
459,Arborophila brunneopectus,Bar-backed Partridge,,f
460,Arborophila crudigularis,Taiwan Partridge,,t
461,Arborophila hyperythra,Red-breasted Partridge,,t
462,Arborophila javanica,Chestnut-bellied Partridge,,t
463,Arborophila mandellii,Chestnut-breasted Partridge,,f
464,Arborophila rufogularis,Rufous-throated Partridge,,t
465,Arborophila torqueola,Hill Partridge,,t
468,Ardea alba,Great White Egret,729,t
469,Ardea cinerea,Grey Heron,1230,t
472,Ardea intermedia,Medium Egret,2214,t
473,Ardea melanocephala,Black-headed Heron,,f
475,Ardea sumatrana,Great-billed Heron,,f
483,Ardeola grayii,Indian Pond Heron,,t
485,Ardeola speciosa,Javan Pond Heron,,f
488,Argusianus argus,Great Argus,,t
489,Argya affinis,Yellow-billed Babbler,,f
490,Argya caudata,Common Babbler,,f
491,Argya earlei,Striated Babbler,,f
492,Argya malcolmi,Large Grey Babbler,,f
493,Argya striata,Jungle Babbler,,f
494,Argya subrufa,Rufous Babbler,,f
495,Arizelocichla masukuensis,Shelley's Greenbul,,f
496,Arizelocichla milanjensis,Stripe-cheeked Greenbul,,f
497,Arizelocichla nigriceps,Eastern Mountain Greenbul,,f
498,Arremon abeillei,Black-capped Sparrow,,t
499,Arremon assimilis,Grey-browed Brushfinch,,t
502,Arremon basilicus,Sierra Nevada Brushfinch,,t
504,Arremon castaneiceps,Olive Finch,,t
507,Arremon flavirostris,Saffron-billed Sparrow,,t
508,Arremon franciscanus,Sao Francisco Sparrow,,t
509,Arremon perijanus,Perija Brushfinch,,f
510,Arremon schlegeli,Golden-winged Sparrow,,t
511,Arremon semitorquatus,Half-collared Sparrow,,t
512,Arremon taciturnus,Pectoral Sparrow,,t
513,Arremon torquatus,White-browed Brushfinch,,t
518,Arremonops tocuyensis,Tocuyo Sparrow,,t
519,Arses telescopthalmus,Frilled Monarch,,t
520,Artamus cinereus,Black-faced Woodswallow,,t
521,Artamus cyanopterus,Dusky Woodswallow,,t
522,Artamus fuscus,Ashy Woodswallow,,t
523,Artamus leucorynchus,White-breasted Woodswallow,,t
524,Artamus personatus,Masked Woodswallow,,t
525,Artamus superciliosus,White-browed Woodswallow,,t
528,Artisornis metopias,African Tailorbird,,t
529,Artisornis moreaui,Long-billed Tailorbird,,t
531,Arundinicola leucocephala,White-headed Marsh Tyrant,,t
532,Asemospiza fuliginosa,Sooty Grassquit,,t
533,Asemospiza obscura,Dull-coloured Grassquit,,t
540,Asthenes anthoides,Austral Canastero,,t
541,Asthenes baeri,Short-billed Canastero,,t
542,Asthenes coryi,Ochre-browed Thistletail,,t
543,Asthenes dorbignyi,Creamy-breasted Canastero,,t
544,Asthenes flammulata,Many-striped Canastero,,t
545,Asthenes fuliginosa,White-chinned Thistletail,,t
546,Asthenes griseomurina,Mouse-coloured Thistletail,,t
547,Asthenes harterti,Black-throated Thistletail,,t
548,Asthenes helleri,Puna Thistletail,,t
549,Asthenes heterura,Maquis Canastero,,t
550,Asthenes hudsoni,Hudson's Canastero,,t
551,Asthenes humilis,Streak-throated Canastero,,f
552,Asthenes maculicauda,Scribble-tailed Canastero,,t
553,Asthenes modesta,Cordilleran Canastero,,t
554,Asthenes moreirae,Itatiaia Spinetail,,t
555,Asthenes ottonis,Rusty-fronted Canastero,,t
556,Asthenes palpebralis,Eye-ringed Thistletail,,t
557,Asthenes perijana,Perija Thistletail,,t
558,Asthenes pudibunda,Canyon Canastero,,t
559,Asthenes pyrrholeuca,Sharp-billed Canastero,,t
560,Asthenes sclateri,Puna Canastero,,t
561,Asthenes urubambensis,Line-fronted Canastero,,t
562,Asthenes virgata,Junin Canastero,,t
563,Asthenes wyatti,Streak-backed Canastero,,t
565,Atelornis crossleyi,Rufous-headed Ground-Roller,,t
566,Atelornis pittoides,Pitta-like Ground-Roller,,t
567,Athene blewitti,Forest Owlet,,t
568,Athene brama,Spotted Owlet,,t
571,Athene superciliaris,White-browed Owl,,t
572,Atimastillas flavicollis,Yellow-throated Greenbul,,t
573,Atlanticus testaceus,Protean Shieldback,,f
575,Atlapetes albofrenatus,Moustached Brushfinch,,t
576,Atlapetes citrinellus,Yellow-striped Brushfinch,,f
577,Atlapetes flaviceps,Yellow-headed Brushfinch,,t
578,Atlapetes fulviceps,Fulvous-headed Brushfinch,,t
687,Bleda notatus,Lesser Bristlebill,,t
579,Atlapetes fuscoolivaceus,Dusky-headed Brushfinch,,t
580,Atlapetes latinuchus,Yellow-breasted Brushfinch,,t
581,Atlapetes leucopis,White-rimmed Brushfinch,,t
582,Atlapetes leucopterus,White-winged Brushfinch,,t
583,Atlapetes melanocephalus,Santa Marta Brushfinch,,t
584,Atlapetes melanolaemus,Black-faced Brushfinch,,t
585,Atlapetes pallidiceps,Pale-headed Brushfinch,,t
586,Atlapetes pallidinucha,Pale-naped Brushfinch,,t
587,Atlapetes personatus,Tepui Brushfinch,,t
589,Atlapetes rufigenis,Rufous-eared Brushfinch,,t
590,Atlapetes rufinucha,Bolivian Brushfinch,,t
591,Atlapetes schistaceus,Slaty Brushfinch,,t
592,Atlapetes semirufus,Ochre-breasted Brushfinch,,t
594,Atlapetes tricolor,Tricoloured Brushfinch,,t
595,Atrichornis clamosus,Noisy Scrub-bird,,t
596,Atrichornis rufescens,Rufous Scrub-bird,,t
597,Attagis gayi,Rufous-bellied Seedsnipe,,t
598,Atticora fasciata,White-banded Swallow,,t
601,Attila bolivianus,Dull-capped Attila,,t
602,Attila cinnamomeus,Cinnamon Attila,,t
603,Attila citriniventris,Citron-bellied Attila,,t
604,Attila phoenicurus,Rufous-tailed Attila,,t
605,Attila rufus,Grey-hooded Attila,,t
607,Attila torridus,Ochraceous Attila,,t
608,Augastes lumachella,Hooded Visorbearer,,t
609,Augastes scutatus,Hyacinth Visorbearer,,t
610,Aulacorhynchus albivitta,Southern Emerald-Toucanet,,t
611,Aulacorhynchus coeruleicinctis,Blue-banded Toucanet,,t
612,Aulacorhynchus derbianus,Chestnut-tipped Toucanet,,t
613,Aulacorhynchus haematopygus,Crimson-rumped Toucanet,,t
615,Aulacorhynchus sulcatus,Groove-billed Toucanet,,t
618,Automolus infuscatus,Olive-backed Foliage-gleaner,,t
619,Automolus leucophthalmus,White-eyed Foliage-gleaner,,t
620,Automolus melanopezus,Brown-rumped Foliage-gleaner,,t
621,Automolus ochrolaemus,Ochre-throated Foliage-gleaner,621,t
622,Automolus paraensis,Para Foliage-gleaner,,t
623,Automolus rufipileatus,Chestnut-crowned Foliage-gleaner,,t
624,Automolus subulatus,Eastern Woodhaunter,1943,t
625,Aviceda jerdoni,Jerdon's Baza,,f
626,Aviceda leuphotes,Black Baza,,f
627,Aviceda subcristata,Pacific Baza,,t
641,Baeopogon indicator,Honeyguide Greenbul,,t
642,Balearica regulorum,Grey Crowned-Crane,,t
643,Bambusicola fytchii,Mountain Bamboo-Partridge,,t
644,Bambusicola sonorivox,Taiwan Bamboo-Partridge,,t
645,Bambusicola thoracicus,Chinese Bamboo-Partridge,,t
646,Bangsia aureocincta,Gold-ringed Tanager,,t
647,Bangsia edwardsi,Moss-backed Tanager,,t
648,Bangsia melanochlamys,Black-and-gold Tanager,,t
649,Barnardius zonarius,Australian Ringneck,,t
652,Baryphthengus ruficapillus,Rufous-capped Motmot,,t
655,Basileuterus delattrii,Chestnut-capped Warbler,,f
656,Basileuterus lachrymosus,Mexican Fan-tailed Warbler,1148,t
660,Basileuterus trifasciatus,Three-banded Warbler,,t
661,Basileuterus tristriatus,Three-striped Warbler,,t
663,Batara cinerea,Giant Antshrike,,t
664,Bathmocercus rufus,Black-faced Rufous-Warbler,,t
665,Batis capensis,Cape Batis,,t
666,Batis erlangeri,Western Black-headed Batis,,t
667,Batis mixta,Short-tailed Batis,,f
668,Batis molitor,Chinspot Batis,,t
669,Batis orientalis,Grey-headed Batis,,t
670,Batis perkeo,Pygmy Batis,,t
671,Batis pririt,Pririt Batis,,t
672,Batis soror,Pale Batis,,f
673,Batrachostomus affinis,Blyth's Frogmouth,,t
674,Batrachostomus auritus,Large Frogmouth,,t
675,Batrachostomus cornutus,Sunda Frogmouth,,t
676,Batrachostomus hodgsoni,Hodgson's Frogmouth,,t
677,Batrachostomus moniliger,Sri Lanka Frogmouth,,t
678,Batrachostomus septimus,Philippine Frogmouth,,t
679,Batrachostomus stellatus,Gould's Frogmouth,,t
680,Berenicornis comatus,White-crowned Hornbill,,t
681,Berlepschia rikeri,Point-tailed Palmcreeper,,t
682,Bernieria madagascariensis,Long-billed Bernieria,,t
683,Bias musicus,Black-and-white Shrike-flycatcher,,t
684,Biatas nigropectus,White-bearded Antshrike,,t
685,Biziura lobata,Musk Duck,,f
686,Bleda canicapillus,Grey-headed Bristlebill,,t
688,Bleda syndactylus,Red-tailed Bristlebill,,t
689,Blythipicus pyrrhotis,Bay Woodpecker,,t
690,Blythipicus rubiginosus,Maroon Woodpecker,,t
691,Boissonneaua flavescens,Buff-tailed Coronet,,t
692,Boissonneaua jardini,Velvet-purple Coronet,,t
693,Boissonneaua matthewsii,Chestnut-breasted Coronet,,t
694,Bolbopsittacus lunulatus,Guaiabero,,f
696,Bolborhynchus orbygnesius,Andean Parakeet,,t
697,Bolemoreus frenatus,Bridled Honeyeater,,t
700,Bombycilla japonica,Japanese Waxwing,,t
702,Bostrychia carunculata,Wattled Ibis,,f
703,Bostrychia hagedash,Hadada Ibis,,t
706,Brachygalba albogularis,White-throated Jacamar,,t
707,Brachygalba lugubris,Brown Jacamar,,t
708,Brachypodius eutilotus,Puff-backed Bulbul,,t
709,Brachypodius melanocephalos,Black-headed Bulbul,,f
710,Brachypodius melanoleucos,Black-and-white Bulbul,,f
711,Brachypodius priocephalus,Gray-headed Bulbul,,t
712,Brachypodius urostictus,Yellow-wattled Bulbul,,t
713,Brachypteryx cruralis,Himalayan Shortwing,,t
714,Brachypteryx goodfellowi,Taiwan Shortwing,,t
715,Brachypteryx hyperythra,Rusty-bellied Shortwing,,t
716,Brachypteryx leucophris,Lesser Shortwing,,t
717,Brachypteryx montana,Javan Shortwing,,t
719,Bradornis microrhynchus,African Grey Flycatcher,,t
720,Bradypterus baboecala,Little Rush Warbler,,t
721,Bradypterus barratti,Barratt's Warbler,,t
722,Bradypterus brunneus,Brown Emutail,,t
723,Bradypterus carpalis,White-winged Swamp Warbler,,f
724,Bradypterus cinnamomeus,Cinnamon Bracken-Warbler,,t
725,Bradypterus lopezi,Evergreen-forest Warbler,,t
726,Bradypterus sylvaticus,Knysna Warbler,,t
727,Branta bernicla,Brent Goose,,t
732,Brotogeris chiriri,Yellow-chevroned Parakeet,,t
733,Brotogeris chrysoptera,Golden-winged Parakeet,,t
734,Brotogeris cyanoptera,Cobalt-winged Parakeet,,t
736,Brotogeris pyrrhoptera,Grey-cheeked Parakeet,,t
737,Brotogeris sanctithomae,Tui Parakeet,,t
738,Brotogeris tirica,Plain Parakeet,,t
740,Bubalornis albirostris,White-billed Buffalo-Weaver,,t
741,Bubalornis niger,Red-billed Buffalo-Weaver,,t
742,Bubo africanus,Spotted Eagle Owl,,t
743,Bubo bengalensis,Rock Eagle Owl,,f
745,Bubo coromandus,Dusky Eagle-Owl,,f
746,Bubo lacteus,Verreaux's Eagle-Owl,,t
747,Bubo nipalensis,Spot-bellied Eagle-Owl,,t
749,Bubo sumatranus,Barred Eagle-Owl,,t
751,Bubulcus ibis,Western Cattle Egret,655,t
753,Buccanodon duchaillui,Yellow-spotted Barbet,,t
754,Bucco capensis,Collared Puffbird,,t
755,Bucco macrodactylus,Chestnut-capped Puffbird,,t
756,Bucco tamatia,Spotted Puffbird,,t
760,Buceros bicornis,Great Hornbill,,t
761,Buceros hydrocorax,Rufous Hornbill,,t
762,Buceros rhinoceros,Rhinoceros Hornbill,,t
763,Buceros vigil,Helmeted Hornbill,,f
764,Bucorvus leadbeateri,Southern Ground-Hornbill,,t
766,Buphagus africanus,Yellow-billed Oxpecker,,t
767,Buphagus erythrorynchus,Red-billed Oxpecker,,t
769,Burhinus capensis,Spotted Thick-knee,,t
770,Burhinus grallarius,Bush Thick-knee,,t
