bsm_id,bsm_scientific_name,bsm_common_name,bsm_species_id,exists_in_wt
4831,Polystictus pectoralis,Bearded Tachuri,,t
4832,Polystictus superciliaris,Grey-backed Tachuri,,t
4833,Polytelis anthopeplus,Regent Parrot,,t
4834,Polytelis swainsonii,Superb Parrot,,t
4835,Polytmus guainumbi,White-tailed Goldenthroat,,t
4836,Polytmus theresiae,Green-tailed Goldenthroat,,t
4837,Pomatorhinus ferruginosus,Black-crowned Scimitar-Babbler,,t
4838,Pomatorhinus horsfieldii,Indian Scimitar-Babbler,,t
4839,Pomatorhinus melanurus,Sri Lanka Scimitar-Babbler,,t
4840,Pomatorhinus montanus,Javan Scimitar-Babbler,,t
4841,Pomatorhinus musicus,Taiwan Scimitar-Babbler,,t
4842,Pomatorhinus ochraceiceps,Red-billed Scimitar-Babbler,,t
4843,Pomatorhinus ruficollis,Streak-breasted Scimitar-Babbler,,t
4844,Pomatorhinus schisticeps,White-browed Scimitar-Babbler,,t
4845,Pomatorhinus superciliaris,Slender-billed Scimitar-Babbler,,t
4846,Pomatostomus ruficeps,Chestnut-crowned Babbler,,t
4847,Pomatostomus superciliosus,White-browed Babbler,,t
4848,Pomatostomus temporalis,Grey-crowned Babbler,,t
4849,Poodytes gramineus,Little Grassbird,,t
4850,Poodytes punctatus,New Zealand Fernbird,,t
4852,Poospiza nigrorufa,Black-and-rufous Warbling Finch,,t
4854,Porphyrio madagascariensis,African Swamphen,,t
4856,Porphyrio melanotus,Australasian Swamphen,,t
4857,Porphyrio poliocephalus,Grey-headed Swamphen,,t
4858,Porphyrio porphyrio,Western Swamphen,1672,t
4859,Porphyriops melanops,Spot-flanked Gallinule,,t
4862,Porzana spiloptera,Dot-winged Crake,,t
4863,Power tools,Power tools,,f
4865,Premnornis guttuliger,Rusty-winged Barbtail,,t
4866,Primolius auricollis,Yellow-collared Macaw,,t
4867,Primolius couloni,Blue-headed Macaw,,t
4868,Primolius maracana,Blue-winged Macaw,,t
4869,Prinia atrogularis,Black-throated Prinia,,t
4870,Prinia bairdii,Banded Prinia,,f
4871,Prinia buchanani,Rufous-fronted Prinia,,t
4872,Prinia crinigera,Himalayan Prinia,,t
4873,Prinia erythroptera,Red-winged Prinia,,f
4874,Prinia familiaris,Bar-winged Prinia,,t
4875,Prinia flavicans,Black-chested Prinia,,t
4876,Prinia flaviventris,Yellow-bellied Prinia,,t
